Experiment_ID,IL_name,Experiment_method,Experiment_value,IL_molratio,HL_name,HL_molratio,CHL_name,CHL_molratio,PEG_name,PEG_molratio,IL_to_nucleicacid_massratio,Aqueous_buffer,Mixing_method,Model,Model_type,Model_target,Route_of_administration,Cargo,Cargo_type,Dose_ug_nucleicacid
Compound 2,Heptadecan-9-yl 8-((2-hydroxyethyl)(tetradecyl)amino)octanoate,Representative Procedure 1 (Method C),638.91 (MH+),,,,,,,,,,,,,,,,,
Compound 1,Heptadecan-9-yl 8-((2-hydroxyethyl)(octadecyl)amino)octanoate,Representative Procedure 1,694.93 (MH+),,,,,,,,,,,,,,,,,
Compound 3,Heptadecan-9-yl 8-((2-hydroxyethyl)(nonyl)amino)octanoate,Representative Procedure 1,568.80 (MH+),,,,,,,,,,,,,,,,,
Compound 4,Heptadecan-9-yl 8-((2-hydroxyethyl)(octyl)amino)octanoate,Representative Procedure 1,554.777 (MH+),,,,,,,,,,,,,,,,,
Compound 5,Heptadecan-9-yl 8-(hexyl(2-hydroxyethyl)amino)octanoate,Representative Procedure 1,526.73 (MH+),,,,,,,,,,,,,,,,,
Compound 6,"Heptadecan-9-yl 8-((2-hydroxyethyl)((9Z,12Z)-octadeca-9,12-dien-1-yl)amino)octanoate",Representative Procedure 1,690.84 (MH+),,,,,,,,,,,,,,,,,
Compound 7,Heptadecan-9-yl 8-((3-hydroxypropyl)(nonyl)amino)octanoate,Representative Procedure 1,582.987 (MH+),,,,,,,,,,,,,,,,,
Compound 8,Heptadecan-9-yl 8-((3-(1H-imidazol-1-yl)propyl)(nonyl)amino)octanoate,Representative Procedure 1,633.994 (MH+),,,,,,,,,,,,,,,,,
Compound 9,Heptadecan-9-yl 8-((2-acetoxyethyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,Representative Procedure 1,753.07 (MH+),,,,,,,,,,,,,,,,,
Compound 10,Heptadecan-9-yl 8-((2-hydroxypropyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,Representative Procedure 1,725.10 (MH+),,,,,,,,,,,,,,,,,
Compound 11,Heptadecan-9-yl (R)-8-((2-hydroxypropyl)(8-(nonyloxy)-8-oxooctyl) amino)octanoate,Representative Procedure 1,725.02 (MH+),,,,,,,,,,,,,,,,,
Compound 12,Heptadecan-9-yl (S)-8-((2-hydroxypropyl)(8-(nonyloxy)-8-oxooctyl) amino)octanoate,Representative Procedure 1,725.10 (MH+),,,,,,,,,,,,,,,,,
Compound 13,Heptadecan-9-yl 8-((2-hydroxybutyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,Representative Procedure 1,739.21 (MH+),,,,,,,,,,,,,,,,,
Compound 14,Heptadecan-9-yl 8-((2-(dimethylamino)ethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Representative Procedure 1,738.23 (MH+),,,,,,,,,,,,,,,,,
Compound 15,Heptadecan-9-yl 8-((2-methoxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Representative Procedure 1,725.19 (MH+),,,,,,,,,,,,,,,,,
Compound 16,Heptadecan-9-yl 8-((3-methoxypropyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,Representative Procedure 1,739.13 (MH+),,,,,,,,,,,,,,,,,
Compound 17,Heptadecan-9-yl 8-((2-(2-(dimethylamino)ethoxy)ethyl) (8-(nonyloxy)-8-oxooctyl)amino)octanoate,Representative Procedure 1,782.27 (MH+),,,,,,,,,,,,,,,,,
Compound 18,Heptadecan-9-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Representative Procedure 1,710.89 (MH+),,,,,,,,,,,,,,,,,
Compound 19,Heptadecan-9-yl 8-((3-hydroxypropyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,Representative Procedure 1,725.19 (MH+),,,,,,,,,,,,,,,,,
Compound 20,Heptadecan-9-yl 8-((4-hydroxybutyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,Representative Procedure 1,739.21 (MH+),,,,,,,,,,,,,,,,,
Compound 21,Heptadecan-9-yl 8-((2-cyanoethyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,Representative Procedure 1,720.18 (MH+),,,,,,,,,,,,,,,,,
Compound 22,Heptadecan-9-yl 8-((2-hydroxycyclohexyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Representative Procedure 1,765.21 (MH+),,,,,,,,,,,,,,,,,
Compound 23,Heptadecan-9-yl 10-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino) decanoate,Representative Procedure 1,739.13 (MH+),,,,,,,,,,,,,,,,,
Compound 24,Heptadecan-9-yl (Z)-8-((2-hydroxyethyl) (8-(non-2-en-1-yloxy)-8-oxooctyl)amino)octanoate,Representative Procedure 1,708.95 (MH+),,,,,,,,,,,,,,,,,
Compound 25,Heptadecan-9-yl 8-((2-hydroxyethyl)(6-oxo-6-(undecyloxy)hexyl)amino)octanoate,Representative Procedure 1,711.00 (MH+),,,,,,,,,,,,,,,,,
Compound 26,Heptadecan-9-yl 8-((2-hydroxyethyl)(4-(nonyloxy)-4-oxobutyl)amino) octanoate,Representative Procedure 1,655.07 (MH+),,,,,,,,,,,,,,,,,
Compound 27,Nonyl 8-((6-(heptadecan-9-yloxy)-6-oxohexyl)(2-hydroxyethyl)amino) octanoate,Representative Procedure 1,683.12 (MH+),,,,,,,,,,,,,,,,,
Compound 28,Heptadecan-9-yl 8-((8-((2-hexylcyclopropyl)methoxy)-8-oxooctyl)(2-hydroxyethyl)amino)octanoate,Representative Procedure 1,722.97 (MH+),,,,,,,,,,,,,,,,,
Compound 29,"Di(heptadecan-9-yl) 8,8'-((2-hydroxyethyl)azanediyl)dioctanoate",Representative Procedure 1,823.19 (MH+),,,,,,,,,,,,,,,,,
Compound 30,7-((2-Hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)heptyl 2-octyldecanoate,Representative Procedure 1,711.16 (MH+),,,,,,,,,,,,,,,,,
Compound 31,heptadecan-9-yl (Z)-8-((2-hydroxyethyl)(octadec-9-en-1-yl)amino) octanoate,Representative Procedure 1,693.20 (MH+),,,,,,,,,,,,,,,,,
Compound 32,nonyl 8-((2-hydroxyethyl)(8-oxo-8-(pentadecan-7-yloxy)octyl)amino) octanoate,Representative Procedure 1,683.20 (MH+),,,,,,,,,,,,,,,,,
Compound 33,nonyl 8-((2-hydroxyethyl)(8-oxo-8-(tetradecan-6-yloxy)octyl)amino) octanoate,Representative Procedure 1,669.09 (MH+),,,,,,,,,,,,,,,,,
Compound 34,dodecan-4-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,Representative Procedure 1,641.05 (MH+),,,,,,,,,,,,,,,,,
Compound 35,nonyl 8-((2-hydroxyethyl)(8-oxo-8-(undecan-3-yloxy)octyl)amino) octanoate,Representative Procedure 1,627.11 (MH+),,,,,,,,,,,,,,,,,
Compound 36,decan-2-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,Representative Procedure 1,613.00 (MH+),,,,,,,,,,,,,,,,,
Compound 47,heptadecan-9-yl 8-((2-hydroxyethyl)(8-(2-octylcyclopropyl)octyl) amino)octanoate,Representative Procedure 1,707.39 (MH+),,,,,,,,,,,,,,,,,
Compound 48,decan-2-yl 8-((8-(heptadecan-9-yloxy)-8-oxooctyl)(2-hydroxyethyl) amino)octanoate,Representative Procedure 1,725.10 (MH+),,,,,,,,,,,,,,,,,
Compound 49,heptadecan-9-yl 8-((2-hydroxyethyl)(8-oxo-8-(undecan-3-yloxy)octyl) amino)octanoate,Representative Procedure 1,739.21 (MH+),,,,,,,,,,,,,,,,,
Compound 50,dodecan-4-yl 8-((8-(heptadecan-9-yloxy)-8-oxooctyl)(2-hydroxyethyl) amino)octanoate,Representative Procedure 1,753.23 (MH+),,,,,,,,,,,,,,,,,
Compound 51,heptadecan-9-yl 8-((4-butoxy-4-oxobutyl)(2-hydroxyethyl)amino) octanoate,Representative Procedure 1,584.87 (MH+),,,,,,,,,,,,,,,,,
Compound 52,heptadecan-9-yl 8-((2-hydroxyethyl)(4-oxo-4-(pentyloxy)butyl)amino) octanoate,Representative Procedure 1,598.90 (MH+),,,,,,,,,,,,,,,,,
Compound 53,heptadecan-9-yl 8-((4-(hexyloxy)-4-oxobutyl)(2-hydroxyethyl)amino) octanoate,Representative Procedure 1,612.92 (MH+),,,,,,,,,,,,,,,,,
Compound 54,heptadecan-9-yl 8-((4-(heptyloxy)-4-oxobutyl)(2-hydroxyethyl)amino) octanoate,Representative Procedure 1,626.94 (MH+),,,,,,,,,,,,,,,,,
Compound 55,heptadecan-9-yl 8-((4-((2-hexylcyclopropyl)methoxy)-4-oxobutyl)(2-hydroxyethyl) amino)octanoate,Representative Procedure 1,667.04 (MH+),,,,,,,,,,,,,,,,,
Compound 56,nonyl 8-((2-hydroxyethyl)(8-oxo-8-(tridecan-7-yloxy)octyl)amino) octanoate,Representative Procedure 1,654.99 (MH+),,,,,,,,,,,,,,,,,
Compound 57,nonan-5-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,Representative Procedure 1,598.98 (MH+),,,,,,,,,,,,,,,,,
Compound 58,heptan-4-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,Representative Procedure 1,570.93 (MH+),,,,,,,,,,,,,,,,,
Compound 59,nonyl 8-((2-hydroxyethyl)(8-oxo-8-(pentan-3-yloxy)octyl)amino) octanoate,Representative Procedure 1,542.80 (MH+),,,,,,,,,,,,,,,,,
Compound 60,"(5Z,12Z)-Heptadeca-5,12-dien-9-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate",Representative Procedure 1,707.10 (MH+),,,,,,,,,,,,,,,,,
Compound 61,"(5Z,12Z)-heptadeca-5,12-dien-9-yl 8-((2-hydroxyethyl)(6-oxo-6-(undecyloxy)hexyl)amino)octanoate",Representative Procedure 1,707.10 (MH+),,,,,,,,,,,,,,,,,
Compound 65,1-Cyclopropylnonyl 8-((8-(heptadecan-9-yloxy)-8-oxooctyl)(2-hydroxyethyl)amino)octanoate,Representative Procedure 1,750.9 (MH+),,,,,,,,,,,,,,,,,
Compound 66,Heptadecan-9-yl 8-((2-hydroxyethyl)(8-oxo-8-((4-pentylcyclohexyl)oxy)octyl)amino)octanoate,Representative Procedure 1,736.9 (MH+),,,,,,,,,,,,,,,,,
Compound 67,Heptadecan-9-yl 8-((2-hydroxyethyl)(4-oxo-4-((4-pentylcyclohexyl)oxy)butyl)amino)octanoate,Representative Procedure 1,680.8 (MH+),,,,,,,,,,,,,,,,,
Compound 68,Heptadecan-9-yl 8-((2-hydroxyethyl)(6-oxo-6-((4-pentylcyclohexyl)oxy)hexyl)amino)octanoate,Representative Procedure 1,708.9 (MH+),,,,,,,,,,,,,,,,,
Compound 69,"Heptadecan-9-yl 8-((2,3-dihydroxypropyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate",Representative Procedure 1,741.0 (MH+),,,,,,,,,,,,,,,,,
Compound 70,Heptadecan-9-yl 8-((4-(decan-2-yloxy)-4-oxobutyl)(2-hydroxyethyl)amino)octanoate,Representative Procedure 1,668.9 (MH+),,,,,,,,,,,,,,,,,
Compound 71,Heptadecan-9-yl 8-((2-hydroxyethyl)(4-oxo-4-(tetradecan-6-yloxy)butyl)amino)octanoate,Representative Procedure 1,724.9 (MH+),,,,,,,,,,,,,,,,,
Compound 72,Heptadecan-9-yl 8-((2-hydroxyethyl)(4-oxo-4-(undecan-3-yloxy)butyl)amino)octanoate,Representative Procedure 1,683.0 (MH+),,,,,,,,,,,,,,,,,
Compound 73,Heptadecan-9-yl 8-((2-hydroxyethyl)(4-oxo-4-(pentadecan-7-yloxy)butyl)amino)octanoate,Representative Procedure 1,739.09 (MH+),,,,,,,,,,,,,,,,,
Compound 74,Heptadecan-9-yl 8-((4-(dodecan-4-yloxy)-4-oxobutyl)(2-hydroxyethyl)amino)octanoate,Representative Procedure 1,696.9 (MH+),,,,,,,,,,,,,,,,,
Compound 75,Heptadecan-9-yl 8-((2-hydroxyethyl)(6-oxo-6-(undecan-3-yloxy)hexyl)amino)octanoate,Representative Procedure 1,711.1 (MH+),,,,,,,,,,,,,,,,,
Compound 79,Nonyl 8-((2-hydroxyethyl)(8-oxo-8-((4-pentylcyclohexyl)oxy)octyl)amino)octanoate,Representative Procedure 1,624.8 (MH+),,,,,,,,,,,,,,,,,
Compound 80,"[1,1'-Bi(cyclohexan)]-4-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate",Representative Procedure 1,636.9 (MH+),,,,,,,,,,,,,,,,,
Compound 81,Cyclopentadecyl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Representative Procedure 1,681.0 (MH+),,,,,,,,,,,,,,,,,
Compound 94,Heptadecan-9-yl 8-(benzyl(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Synthesis,757.0 (MH+),,,,,,,,,,,,,,,,,
Compound 96,7-((8-(Heptadecan-9-yloxy)-8-oxooctyl)(2-hydroxyethyl)amino)heptyl decanoate,Representative Procedure 1,711.0 (MH+),,,,,,,,,,,,,,,,,
Compound 98,8-((8-(Heptadecan-9-yloxy)-8-oxooctyl)(2-hydroxyethyl)amino)octan-2-yl decanoate,Representative Procedure 1,725.0 (MH+),,,,,,,,,,,,,,,,,
Compound 101,Heptadecan-9-yl 8-((2-(4-methylpiperazin-1-yl)ethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Synthesis,792.8 (MH+),,,,,,,,,,,,,,,,,
Compound 103,Heptadecan-9-yl 8-((2-morpholinoethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Synthesis,779.8 (MH+),,,,,,,,,,,,,,,,,
Compound 108,Heptadecan-9-yl 8-((3-acetamidopropyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Synthesis,765.7 (MH+),,,,,,,,,,,,,,,,,
Compound 109,Heptadecan-9-yl 8-((3-(methylsulfonamido)propyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Synthesis,801.7 (MH+),,,,,,,,,,,,,,,,,
Compound 110,"Heptadecan-9-yl 8-((3-(3,3-dimethylureido)propyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate",Synthesis,794.7 (MH+),,,,,,,,,,,,,,,,,
Compound 111,"Heptadecan-9-yl 8-((3-(3,3-dimethylthioureido)propyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate",Synthesis,810.7 (MH+),,,,,,,,,,,,,,,,,
Compound 112,Heptadecan-9-yl 8-((3-(3-methylureido)propyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Synthesis,780.7 (MH+),,,,,,,,,,,,,,,,,
Compound 113,Heptadecan-9-yl 8-((3-(3-methylthioureido)propyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Synthesis,796.7 (MH+),,,,,,,,,,,,,,,,,
Compound 114,"Heptadecan-9-yl 8-((3-(2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)propyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate",Synthesis,818.7 (MH+),,,,,,,,,,,,,,,,,
Compound 115,Heptadecan-9-yl 8-((3-(4-amino-2-oxopyrimidin-1(2H)-yl)propyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Synthesis,817.7 (MH+),,,,,,,,,,,,,,,,,
Compound 116,Heptadecan-9-yl 8-((3-(6-amino-9H-purin-9-yl)propyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Synthesis,841.7 (MH+),,,,,,,,,,,,,,,,,
Compound 118,"3,4-Dipentylphenyl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate",Synthesis,688.6 (MH+),,,,,,,,,,,,,,,,,
Compound 119,Nonyl 8-((2-hydroxyethyl)(8-oxo-8-(4-pentylphenoxy)octyl)amino)octanoate,Synthesis,618.5 (MH+),,,,,,,,,,,,,,,,,
Compound 120,Nonyl 8-((2-hydroxyethyl)(8-oxo-8-(3-pentylphenoxy)octyl)amino)octanoate,Synthesis,618.5 (MH+),,,,,,,,,,,,,,,,,
Compound 121,Heptadecan-9-yl 8-((3-aminopropyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Synthesis,723.7 (MH+),,,,,,,,,,,,,,,,,
Compound 122,Heptadecan-9-yl 8-((6-(decan-2-yloxy)-6-oxohexyl)(2-hydroxyethyl)amino)octanoate,Representative Procedure 1,697.1 (MH+),,,,,,,,,,,,,,,,,
Compound 123,Heptadecan-9-yl 8-(methyl(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Synthesis,681.0 (MH+),,,,,,,,,,,,,,,,,
Compound 124,"Di(heptadecan-9-yl) 8,8'-(methylazanediyl)dioctanoate",Synthesis,793.3 (MH+),,,,,,,,,,,,,,,,,
Compound 125,3-((8-(Heptadecan-9-yloxy)-8-oxooctyl)(8-(nonyloxy)-8-oxooctyl)amino)propanoic acid,Synthesis,838.7 (MH+ reported),,,,,,,,,,,,,,,,,
Compound 126,Heptadecan-9-yl 8-(methyl(4-(nonyloxy)-4-oxobutyl)amino)octanoate,Synthesis,624.8 (MH+),,,,,,,,,,,,,,,,,
Compound 127,Nonyl 8-((9-((bis(nonyloxy)phosphoryl)oxy)nonyl)(2-hydroxyethyl)amino)octanoate,Representative Procedure 1,805.1 (MH+),,,,,,,,,,,,,,,,,
Compound 128,Heptadecan-9-yl 8-((6-((1-cyclopropylnonyl)oxy)-6-oxohexyl)(2-hydroxyethyl)amino)octanoate,Representative Procedure 1,722.9 (MH+),,,,,,,,,,,,,,,,,
Compound 129,Undecyl 6-((8-(dioctylamino)-8-oxooctyl)(2-hydroxyethyl)amino)hexanoate,Representative Procedure 1,695.9 (MH+),,,,,,,,,,,,,,,,,
Compound 130,Decan-2-yl 8-((8-(dioctylamino)-8-oxooctyl)(2-hydroxyethyl)amino)octanoate,Representative Procedure 1,709.9 (MH+),,,,,,,,,,,,,,,,,
Compound 131,Nonyl 8-((7-((bis(octyloxy)phosphoryl)oxy)heptyl)(2-hydroxyethyl)amino)octanoate,Representative Procedure 1,750.0 (MH+),,,,,,,,,,,,,,,,,
Compound 132,Decan-2-yl 8-((7-((bis(octyloxy)phosphoryl)oxy)heptyl)(2-hydroxyethyl)amino)octanoate,Representative Procedure 1,764.00 (MH+),,,,,,,,,,,,,,,,,
Compound 133,"((2-Hydroxyethyl)azanediyl)bis(nonane-9,1-diyl) bis(2-hexyldecanoate)",Representative Procedure 1,824.0 (MH+),,,,,,,,,,,,,,,,,
Compound 134,9-((2-Hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)nonyl 2-hexyldecanoate,Representative Procedure 1,712.0 (MH+),,,,,,,,,,,,,,,,,
Compound 135,7-((8-(Decan-2-yloxy)-8-oxooctyl)(2-hydroxyethyl)amino)heptyl 2-octyldecanoate,Representative Procedure 1,726.0 (MH+),,,,,,,,,,,,,,,,,
Compound 136,"Nonyl 8-((2-hydroxyethyl)((9Z,12Z)-octadeca-9,12-dien-1-yl)amino)octanoate",Representative Procedure 2,578.64 (MH+),,,,,,,,,,,,,,,,,
Compound 137,Methyl 12-(dodecyl(2-hydroxyethyl)amino)dodecanoate,Synthesis,442.60 (MH+),,,,,,,,,,,,,,,,,
