compound_number,compound_inchi,xx_inchi,xx_number,Is_Identical
118,"InChI=1S/C43H77NO5/c1-4-7-10-11-12-19-26-37-48-42(46)29-22-15-13-17-24-33-44(35-36-45)34-25-18-14-16-23-30-43(47)49-41-32-31-39(27-20-8-5-2)40(38-41)28-21-9-6-3/h31-32,38,45H,4-30,33-37H2,1-3H3","InChI=1S/C48H92N4O5/c1-4-7-10-13-16-25-32-42-56-47(54)36-28-21-17-23-30-38-51(40-33-41-52-43-45(44-53)49-50-52)39-31-24-18-22-29-37-48(55)57-46(34-26-19-14-11-8-5-2)35-27-20-15-12-9-6-3/h43,46,53H,4-42,44H2,1-3H3",118,False
132,"InChI=1S/C43H88NO7P/c1-5-8-11-14-19-26-33-42(4)51-43(46)34-27-20-17-21-28-35-44(37-38-45)36-29-22-18-25-32-41-50-52(47,48-39-30-23-15-12-9-6-2)49-40-31-24-16-13-10-7-3/h42,45H,5-41H2,1-4H3","InChI=1S/C36H69NO5/c1-3-5-7-8-9-13-20-32-41-35(39)22-16-11-10-12-18-28-37(30-31-38)29-19-14-17-23-36(40)42-34-26-24-33(25-27-34)21-15-6-4-2/h33-34,38H,3-32H2,1-2H3",132,False
54,"InChI=1S/C40H79NO5/c1-5-9-13-15-21-29-37(27-19-11-7-3)45-39(43)31-23-17-25-33-41(35-36-42)34-26-18-24-32-40(44)46-38(28-20-12-8-4)30-22-16-14-10-6-2/h37-38,42H,5-36H2,1-4H3","InChI=1S/C46H91NO6/c1-4-7-10-13-16-25-32-41-52-45(49)35-28-21-17-23-30-37-47(39-42-51-43-40-48)38-31-24-18-22-29-36-46(50)53-44(33-26-19-14-11-8-5-2)34-27-20-15-12-9-6-3/h44,48H,4-43H2,1-3H3",54,False
56,"InChI=1S/C44H87NO5/c1-5-9-13-17-25-33-41(31-23-11-7-3)49-43(47)35-27-19-15-21-29-37-45(39-40-46)38-30-22-16-20-28-36-44(48)50-42(32-24-12-8-4)34-26-18-14-10-6-2/h41-42,46H,5-40H2,1-4H3","InChI=1S/C45H89NO6/c1-4-7-10-13-16-25-32-39-51-44(49)35-28-21-17-23-30-37-46(42(40-47)41-48)38-31-24-18-22-29-36-45(50)52-43(33-26-19-14-11-8-5-2)34-27-20-15-12-9-6-3/h42-43,47-48H,4-41H2,1-3H3",56,False
66,"InChI=1S/C46H89NO5/c1-4-7-10-12-16-23-30-43(31-24-17-13-11-8-5-2)51-45(49)32-25-18-14-20-27-38-47(40-41-48)39-28-21-15-19-26-33-46(50)52-44-36-34-42(35-37-44)29-22-9-6-3/h42-44,48H,4-41H2,1-3H3","InChI=1S/C35H69NO5/c1-3-5-7-9-13-19-25-33(26-20-14-10-8-6-4-2)41-35(40)28-22-16-12-18-24-30-36(31-32-37)29-23-17-11-15-21-27-34(38)39/h33,37H,3-32H2,1-2H3,(H,38,39)",66,False
67,"InChI=1S/C42H81NO5/c1-4-7-10-12-15-20-26-39(27-21-16-13-11-8-5-2)47-41(45)28-22-17-14-18-23-34-43(36-37-44)35-24-29-42(46)48-40-32-30-38(31-33-40)25-19-9-6-3/h38-40,44H,4-37H2,1-3H3","InChI=1S/C27H53NO5/c1-2-3-4-5-6-13-18-25-33-27(32)20-15-10-8-12-17-22-28(23-24-29)21-16-11-7-9-14-19-26(30)31/h29H,2-25H2,1H3,(H,30,31)",67,False
68,"InChI=1S/C44H85NO5/c1-4-7-10-12-15-21-28-41(29-22-16-13-11-8-5-2)49-43(47)30-23-17-14-18-25-36-45(38-39-46)37-26-19-24-31-44(48)50-42-34-32-40(33-35-42)27-20-9-6-3/h40-42,46H,4-39H2,1-3H3","InChI=1S/C49H95N5O4/c1-6-9-12-15-18-27-34-44-57-47(55)38-30-23-19-25-32-41-54(43-35-40-51-49(52-45-50)53(4)5)42-33-26-20-24-31-39-48(56)58-46(36-28-21-16-13-10-7-2)37-29-22-17-14-11-8-3/h46H,6-44H2,1-5H3,(H,51,52)",68,False
69,"InChI=1S/C45H89NO6/c1-4-7-10-13-16-25-32-39-51-44(49)35-28-21-17-23-30-37-46(40-42(48)41-47)38-31-24-18-22-29-36-45(50)52-43(33-26-19-14-11-8-5-2)34-27-20-15-12-9-6-3/h42-43,47-48H,4-41H2,1-3H3","InChI=1S/C51H95N3O6/c1-6-9-12-15-18-27-34-44-59-46(55)38-30-23-19-25-32-41-54(43-35-40-52-48-49(53(4)5)51(58)50(48)57)42-33-26-20-24-31-39-47(56)60-45(36-28-21-16-13-10-7-2)37-29-22-17-14-11-8-3/h45,52H,6-44H2,1-5H3",69,False
70,"InChI=1S/C41H81NO5/c1-5-8-11-14-18-23-29-38(4)46-40(44)33-28-35-42(36-37-43)34-27-22-17-21-26-32-41(45)47-39(30-24-19-15-12-9-6-2)31-25-20-16-13-10-7-3/h38-39,43H,5-37H2,1-4H3","InChI=1S/C48H94N4O6/c1-5-8-11-14-17-26-33-43-57-47(53)37-29-22-18-24-31-40-51(42-34-39-50-46(49-4)44-52(55)56)41-32-25-19-23-30-38-48(54)58-45(35-27-20-15-12-9-6-2)36-28-21-16-13-10-7-3/h44-45,49-50H,5-43H2,1-4H3/b46-44+",70,False
71,"InChI=1S/C45H89NO5/c1-5-9-13-16-20-26-33-42(32-25-12-8-4)51-45(49)37-31-39-46(40-41-47)38-30-24-19-23-29-36-44(48)50-43(34-27-21-17-14-10-6-2)35-28-22-18-15-11-7-3/h42-43,47H,5-41H2,1-4H3","InChI=1S/C46H93NO4/c1-5-8-11-14-17-24-31-38-46(4,50)39-32-25-18-19-26-33-40-47(42-43-48)41-34-27-20-23-30-37-45(49)51-44(35-28-21-15-12-9-6-2)36-29-22-16-13-10-7-3/h44,48,50H,5-43H2,1-4H3",71,False
73,"InChI=1S/C46H91NO5/c1-5-9-13-17-21-27-34-43(33-26-16-12-8-4)52-46(50)38-32-40-47(41-42-48)39-31-25-20-24-30-37-45(49)51-44(35-28-22-18-14-10-6-2)36-29-23-19-15-11-7-3/h43-44,48H,5-42H2,1-4H3","InChI=1S/C47H94N2O6S/c1-6-9-12-15-18-27-34-44-54-46(50)38-30-23-19-25-32-41-49(43-35-40-48(4)56(5,52)53)42-33-26-20-24-31-39-47(51)55-45(36-28-21-16-13-10-7-2)37-29-22-17-14-11-8-3/h45H,6-44H2,1-5H3",73,False
74,"InChI=1S/C43H85NO5/c1-5-9-12-15-19-24-31-40(30-8-4)48-43(47)35-29-37-44(38-39-45)36-28-23-18-22-27-34-42(46)49-41(32-25-20-16-13-10-6-2)33-26-21-17-14-11-7-3/h40-41,45H,5-39H2,1-4H3","InChI=1S/C48H91N3O6/c1-4-7-10-13-16-25-32-42-56-46(53)36-28-21-17-23-30-38-50(40-33-41-51-45(52)43-49-48(51)55)39-31-24-18-22-29-37-47(54)57-44(34-26-19-14-11-8-5-2)35-27-20-15-12-9-6-3/h44H,4-43H2,1-3H3,(H,49,55)",74,False
75,"InChI=1S/C44H87NO5/c1-5-9-12-15-19-25-32-41(8-4)49-43(47)36-29-24-31-38-45(39-40-46)37-30-23-18-22-28-35-44(48)50-42(33-26-20-16-13-10-6-2)34-27-21-17-14-11-7-3/h41-42,46H,5-40H2,1-4H3","InChI=1S/C47H92N2O6/c1-5-8-11-14-17-26-33-42-53-45(50)37-29-22-18-24-31-39-49(41-34-43-54-47(52)48-4)40-32-25-19-23-30-38-46(51)55-44(35-27-20-15-12-9-6-2)36-28-21-16-13-10-7-3/h44H,5-43H2,1-4H3,(H,48,52)",75,False
79,"InChI=1S/C38H73NO5/c1-3-5-7-8-9-16-22-34-43-37(41)24-18-12-10-14-20-30-39(32-33-40)31-21-15-11-13-19-25-38(42)44-36-28-26-35(27-29-36)23-17-6-4-2/h35-36,40H,3-34H2,1-2H3","InChI=1S/C50H98N4O4Si/c1-7-10-13-16-19-28-35-45-57-49(55)39-31-24-20-26-33-41-53(43-36-44-54-46-48(51-52-54)59(4,5)6)42-34-27-21-25-32-40-50(56)58-47(37-29-22-17-14-11-8-2)38-30-23-18-15-12-9-3/h46-47H,7-45H2,1-6H3",79,False
94,"InChI=1S/C49H89NO4/c1-4-7-10-13-16-25-35-44-53-48(51)40-31-21-17-23-33-42-50(45-46-36-27-26-28-37-46)43-34-24-18-22-32-41-49(52)54-47(38-29-19-14-11-8-5-2)39-30-20-15-12-9-6-3/h26-28,36-37,47H,4-25,29-35,38-45H2,1-3H3","InChI=1S/C49H96N2O5/c1-6-9-12-15-18-27-34-44-55-47(52)38-30-23-19-25-32-41-51(43-35-40-50-49(54)45(4)5)42-33-26-20-24-31-39-48(53)56-46(36-28-21-16-13-10-7-2)37-29-22-17-14-11-8-3/h45-46H,6-44H2,1-5H3,(H,50,54)",94,False
98,"InChI=1S/C45H89NO5/c1-5-8-11-14-17-21-29-36-44(48)50-42(4)33-26-23-25-32-39-46(40-41-47)38-31-24-18-22-30-37-45(49)51-43(34-27-19-15-12-9-6-2)35-28-20-16-13-10-7-3/h42-43,47H,5-41H2,1-4H3","InChI=1S/C47H92N2O6/c1-4-7-10-13-16-25-32-42-54-46(52)36-28-21-17-23-30-39-49(41-33-38-48-45(51)43-50)40-31-24-18-22-29-37-47(53)55-44(34-26-19-14-11-8-5-2)35-27-20-15-12-9-6-3/h44,50H,4-43H2,1-3H3,(H,48,51)",98,False
